exp_id,model,setting,variant,n_runs,n_seeds,seeds,avg_wealth_final_mean,avg_wealth_final_std,avg_wealth_final_ci95,avg_wealth_final_n,median_wealth_final_mean,median_wealth_final_std,median_wealth_final_ci95,median_wealth_final_n,gini_final_mean,gini_final_std,gini_final_ci95,gini_final_n,unemployment_final_pct_mean,unemployment_final_pct_std,unemployment_final_pct_ci95,unemployment_final_pct_n,inflation_final_pct_mean,inflation_final_pct_std,inflation_final_pct_ci95,inflation_final_pct_n,inflation_dev_abs_pct_mean,inflation_dev_abs_pct_std,inflation_dev_abs_pct_ci95,inflation_dev_abs_pct_n,gdp_final_mean,gdp_final_std,gdp_final_ci95,gdp_final_n,gdp_growth_mean_pct_mean,gdp_growth_mean_pct_std,gdp_growth_mean_pct_ci95,gdp_growth_mean_pct_n,gdp_volatility_pct_mean,gdp_volatility_pct_std,gdp_volatility_pct_ci95,gdp_volatility_pct_n,crash_count_mean,crash_count_std,crash_count_ci95,crash_count_n,mean_crash_recovery_months_mean,mean_crash_recovery_months_std,mean_crash_recovery_months_ci95,mean_crash_recovery_months_n,invalid_action_rate_mean,invalid_action_rate_std,invalid_action_rate_ci95,invalid_action_rate_n,api_error_rate_mean,api_error_rate_std,api_error_rate_ci95,api_error_rate_n,rule_turnover_mean,rule_turnover_std,rule_turnover_ci95,rule_turnover_n,rule_diversity_mean,rule_diversity_std,rule_diversity_ci95,rule_diversity_n,total_cost_usd_mean,total_cost_usd_std,total_cost_usd_ci95,total_cost_usd_n,wall_time_min_mean,wall_time_min_std,wall_time_min_ci95,wall_time_min_n
E3,GPT-5.2,finevo,alpha-minus-50,5,5,"13,2026,21,42,87",177156.73379425204,8722.622431601181,7645.715666056902,5,137319.49283717497,8067.156009938737,7071.174015541042,5,0.3374380542853941,0.023824317458340814,0.020882934994918948,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-39.61471191986331,4.74063417837768,4.155349069490051,5,41.61471191986331,4.74063417837768,4.155349069490051,5,2716902.34307688,42334.25100773862,37107.60710769827,5,0.06153846153846132,0.05617667256463223,0.04924102457287192,5,0.30769230769230677,0.2808833628231613,0.24620512286435972,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5742518,0.0040333488815127395,0.00353538617220581,5,3.3173556518554683,0.26387131954290877,0.231293409461721,5
E3,GPT-5.2,finevo,alpha-plus-50,5,5,"13,2026,21,42,87",182808.45894367667,20395.836292927765,17877.738752305966,5,139885.40682587665,31112.210235532282,27271.05467063065,5,0.3417416520327681,0.03486197527135563,0.030557868642373802,5,0.33333333333333337,0.45643546458763845,0.40008332465458574,5,-40.51516314794783,3.7485310931957,3.285732373341616,5,42.51516314794783,3.7485310931957,3.285732373341616,5,2712377.731119492,43802.98390702104,38395.00825630392,5,0.00011204481792707888,0.0334734479565365,0.029340770788269875,5,0.13389355742296655,0.07485204985196271,0.06561071451588313,5,0.8,1.3038404810405297,1.1428665713896788,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.570707,0.008702381829131614,0.007627973995750122,5,2.9678334172566734,0.11701069229941757,0.10256439393371707,5
E3,GPT-5.2,finevo,beta-minus-50,5,5,"13,2026,21,42,87",179477.78003387764,10411.758742941367,9126.308923301503,5,138210.12341425175,11892.187233049504,10423.9617092675,5,0.316971355597546,0.025846445413698592,0.022655408297332945,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-38.69259002533912,4.514516447506018,3.957148139568413,5,40.69259002533912,4.514516447506018,3.957148139568413,5,2716821.845197228,35503.662219843296,31120.33205211419,5,0.07667811395036746,0.09866109710585722,0.08648026458645455,5,0.3833905697518376,0.49330548552928605,0.4324013229322728,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5703818000000003,0.002525328830073437,0.002213548316397014,5,3.1706796328226723,0.43040683083223746,0.377268221234685,5
E3,GPT-5.2,finevo,beta-plus-50,5,5,"13,2026,21,42,87",190984.78720236002,13924.59129840323,12205.442419235616,5,138753.67903798827,15930.527660073905,13963.723164023437,5,0.3442559588105677,0.048788876829146274,0.042765336093247494,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-42.1321277808396,1.5688962615045245,1.375198206624806,5,44.1321277808396,1.5688962615045245,1.375198206624806,5,2716821.845197228,35503.662219843296,31120.33205211419,5,0.04091072326366436,0.04459851225589751,0.039092319599021375,5,0.204553616318322,0.22299256127948772,0.195461597995107,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5757902000000001,0.005226315403800278,0.00458106743378266,5,2.9436482604344683,0.31552564379318243,0.27657042096104867,5
E3,GPT-5.2,finevo,delta-minus-50,5,5,"13,2026,21,42,87",169672.9887931742,12299.403349698483,10780.902373264853,5,139684.45025587647,11499.141324169452,10079.441780018176,5,0.33703102314486844,0.036032097355446706,0.03158352587099834,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-39.508781536080846,4.268639170565506,3.7416272038666936,5,41.508781536080846,4.268639170565506,3.7416272038666936,5,2716781.2475006236,31384.987250717917,27510.154266503243,5,0.06861184792219246,0.06427641901691586,0.056340765370656944,5,0.3430592396109623,0.3213820950845793,0.28170382685328477,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5743694000000001,0.003700813059315437,0.003243905672478125,5,2.9917190639177957,0.31104870616923563,0.27264621211264545,5
E3,GPT-5.2,finevo,delta-plus-50,5,5,"13,2026,21,42,87",178745.6556914485,13924.142028214432,12205.04861655211,5,133987.73848087568,16057.467587997624,14074.99091671881,5,0.3463055900773788,0.04103916678028457,0.035972415730981644,5,0.0,0.0,0.0,5,-38.61988806722976,3.2773786302347525,2.872749030842341,5,40.61988806722976,3.2773786302347525,2.872749030842341,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.09023840986360464,0.09299574340836157,0.08151436312065598,5,0.4511920493180234,0.4649787170418077,0.40757181560327976,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5744509999999998,0.0036545646115510866,0.00320336712064059,5,3.371575022538503,0.3771752989272704,0.3306087262713906,5
E3,GPT-5.2,finevo,gamma-minus-50,5,5,"13,2026,21,42,87",173586.19909457286,13873.768815673793,12160.894548977632,5,139433.52793625853,11598.101466632588,10166.184169417545,5,0.3196325293744127,0.04377510834697976,0.038370574250615956,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-41.918353160465394,2.031205149276826,1.7804298136919914,5,43.918353160465394,2.031205149276826,1.7804298136919914,5,2716770.7470014924,30215.223900544992,26484.811482022018,5,0.040910723263664364,0.04459851225589761,0.03909231959902146,5,0.20455361631832197,0.22299256127948822,0.19546159799510746,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5714852000000001,0.005038394655046175,0.004416347634892701,5,2.975013925234477,0.18607129950474316,0.16309868514689682,5
E3,GPT-5.2,finevo,gamma-plus-50,5,5,"13,2026,21,42,87",182886.8976247523,5482.272954115707,4805.424118671632,5,134445.74946751067,15586.933464365322,13662.549572538164,5,0.34587694095080584,0.01984099246445297,0.017391396693498547,5,0.0,0.0,0.0,5,-40.22496563322362,4.100229070035689,3.594009242176854,5,42.22496563322362,4.100229070035689,3.594009242176854,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.03407214254671862,0.048247334114523935,0.04229065297478229,5,0.17036071273359318,0.2412366705726198,0.21145326487391158,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.570239,0.00698314041101848,0.006120992448941552,5,2.892988827228546,0.25518694286672683,0.22368121767837962,5
E3,GPT-5.2,finevo,no-macro-terms,5,5,"13,2026,21,42,87",180061.78581460076,15623.46404266645,13694.570036222935,5,145234.30057441306,11953.823951756918,10477.988675299905,5,0.3148852895889378,0.025669727987305966,0.022500508643469638,5,0.16666666666666669,0.372677996249965,0.3266666666666667,5,-40.07888066350829,3.2583770438329442,2.8560934060034278,5,42.07888066350829,3.2583770438329442,2.8560934060034278,5,2716781.2475006236,31384.987250717917,27510.154266503243,5,0.04096479791395032,0.05575099462382857,0.04886790140650555,5,0.271490656236417,0.19496524789854455,0.1708945746400875,5,0.0,0.0,0.0,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5756215999999998,0.0035542489079971725,0.0031154365295565406,5,2.8814713239669802,0.2595459296207077,0.22750203803078922,5
E3,GPT-5.2,finevo,random-sentiment,5,5,"13,2026,21,42,87",145319.4170140075,23153.817097515435,20295.215515707423,5,119413.12974595968,14034.375302431225,12301.672341608311,5,0.3230003278639414,0.03796746943276823,0.033279954293443534,5,0.0,0.0,0.0,5,-37.30589399739737,4.378632202585619,3.838040347352821,5,39.30589399739737,4.378632202585619,3.838040347352821,5,2721346.457154616,32920.019912021744,28855.669718819485,5,0.054590907081709994,0.052393325825714335,0.04592477494052828,5,0.27295453540855014,0.26196662912857155,0.22962387470264128,5,2.0,1.224744871391589,1.0735362127101253,5,,,,0,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.5709116,0.0017416381082187857,0.0015266131112550852,5,3.281264340877533,0.5354445253611717,0.4693378198999745,5
