exp_id,variant,n_runs,total_cost_usd_mean,total_cost_usd_std,wall_time_min_mean,wall_time_min_std,invalid_action_rate_mean,invalid_action_rate_std,api_error_rate_mean,api_error_rate_std
E2,default,5,1.571496,0.005341578558815703,2.799686443010966,0.2172399600522457,0.0,0.0,0.0,0.0
E2,without-episodic-memory,5,1.1667822,0.0033919306007051354,3.035766877333323,0.2439038277148915,0.0,0.0,0.0,0.0
E2,without-reflection,5,0.875877,0.0012863897154439567,1.0105357392628989,0.18224989584283305,0.0,0.0,0.0,0.0
E2,without-semantic-memory,5,1.5743694,0.0036841706393705566,2.8409500575065616,0.1555731121111105,0.0,0.0,0.0,0.0
E2,without-sentiment,5,1.5437832000000002,0.0026996963162549937,2.9622693554560344,0.13197042320514737,0.0,0.0,0.0,0.0
E3,alpha-minus-50,5,1.5742518,0.0040333488815127395,3.3173556518554683,0.26387131954290877,0.0,0.0,0.0,0.0
E3,alpha-plus-50,5,1.570707,0.008702381829131614,2.9678334172566734,0.11701069229941757,0.0,0.0,0.0,0.0
E3,beta-minus-50,5,1.5703818000000003,0.002525328830073437,3.1706796328226723,0.43040683083223746,0.0,0.0,0.0,0.0
E3,beta-plus-50,5,1.5757902000000001,0.005226315403800278,2.9436482604344683,0.31552564379318243,0.0,0.0,0.0,0.0
E3,delta-minus-50,5,1.5743694000000001,0.003700813059315437,2.9917190639177957,0.31104870616923563,0.0,0.0,0.0,0.0
E3,delta-plus-50,5,1.5744509999999998,0.0036545646115510866,3.371575022538503,0.3771752989272704,0.0,0.0,0.0,0.0
E3,gamma-minus-50,5,1.5714852000000001,0.005038394655046175,2.975013925234477,0.18607129950474316,0.0,0.0,0.0,0.0
E3,gamma-plus-50,5,1.570239,0.00698314041101848,2.892988827228546,0.25518694286672683,0.0,0.0,0.0,0.0
E3,no-macro-terms,5,1.5756215999999998,0.0035542489079971725,2.8814713239669802,0.2595459296207077,0.0,0.0,0.0,0.0
E3,random-sentiment,5,1.5709116,0.0017416381082187857,3.281264340877533,0.5354445253611717,0.0,0.0,0.0,0.0
E4,numeric-only,5,1.5697482,0.0058758163432837025,3.026258715788523,0.18102849285091593,0.0,0.0,0.0,0.0
E4,random-event,5,1.6148928000000002,0.0029838507335319185,2.807460267543793,0.24067736496495654,0.0,0.0,0.0,0.0
E4,shuffled-event,5,1.6013574,0.0030418886074280393,2.8591180284818014,0.23785545423340942,0.0,0.0,0.0,0.0
E4,text-event,5,1.5985422,0.003399557059382887,3.0540793037414553,0.31843041030104247,0.0,0.0,0.0,0.0
E5,concise-prompt,5,1.6014575999999998,0.0019753939607076655,2.846708519458771,0.21149138981263751,0.0,0.0,0.0,0.0
E5,default-prompt,5,1.5712422000000004,0.004548062631494949,2.81500380118688,0.27740685672266313,0.0,0.0,0.0,0.0
E5,natural-language-plus-json,5,1.4288388,0.0022408168599866844,2.6225086498260497,0.10326170801032637,0.0,0.0,0.0,0.0
E5,no-fairness-wording,5,1.607379,0.002413908759667603,2.6244677702585855,0.20689730573907722,0.0,0.0,0.0,0.0
E5,risk-neutral-wording,5,1.6128947999999999,0.0019976583041151972,2.902936189969381,0.3957314368246133,0.0,0.0,0.0,0.0
E5,temperature-0.0,5,1.5722148,0.0017686426151148366,2.7196433504422504,0.24442657314848706,0.0,0.0,0.0,0.0
E5,temperature-0.7,5,1.5752232,0.008105544380237516,2.8862020500500996,0.44250865557035063,0.0,0.0,0.0,0.0
